"filename", "language", "TypeScript JSX", "TypeScript", "SCSS", "JSON", "JSON with Comments", "JavaScript", "Markdown", "HTML", "comment", "blank", "total"
"/Users/nghiaxir/Desktop/vit-client/src/pages/Activity/ActivityDetail/index.scss", "SCSS", 0, 0, 16, 0, 0, 0, 0, 0, 0, 3, 19
"/Users/nghiaxir/Desktop/vit-client/src/pages/Activity/ActivityDetail/index.tsx", "TypeScript JSX", 304, 0, 0, 0, 0, 0, 0, 0, 0, 11, 315
"/Users/nghiaxir/Desktop/vit-client/src/pages/Activity/components/ActivityItem.tsx", "TypeScript JSX", 67, 0, 0, 0, 0, 0, 0, 0, 0, 4, 71
"/Users/nghiaxir/Desktop/vit-client/src/pages/Activity/components/ParticipantsTable.tsx", "TypeScript JSX", 97, 0, 0, 0, 0, 0, 0, 0, 0, 5, 102
"/Users/nghiaxir/Desktop/vit-client/src/pages/Activity/components/index.scss", "SCSS", 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"/Users/nghiaxir/Desktop/vit-client/src/pages/Activity/components/index.tsx", "TypeScript JSX", 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/nghiaxir/Desktop/vit-client/src/pages/Activity/index.scss", "SCSS", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"/Users/nghiaxir/Desktop/vit-client/src/pages/Activity/index.tsx", "TypeScript JSX", 47, 0, 0, 0, 0, 0, 0, 0, 0, 7, 54
"/Users/nghiaxir/Desktop/vit-client/src/pages/Admin/Activity/components/ActivityDetail.tsx", "TypeScript JSX", 42, 0, 0, 0, 0, 0, 0, 0, 0, 6, 48
"/Users/nghiaxir/Desktop/vit-client/src/pages/Admin/Activity/components/ActivityMember.tsx", "TypeScript JSX", 203, 0, 0, 0, 0, 0, 0, 0, 0, 16, 219
"/Users/nghiaxir/Desktop/vit-client/src/pages/Admin/Activity/components/CreateActivityModal.tsx", "TypeScript JSX", 364, 0, 0, 0, 0, 0, 0, 0, 0, 10, 374
"/Users/nghiaxir/Desktop/vit-client/src/pages/Admin/Activity/components/EditActivity.tsx", "TypeScript JSX", 321, 0, 0, 0, 0, 0, 0, 0, 0, 11, 332
"/Users/nghiaxir/Desktop/vit-client/src/pages/Admin/Activity/components/index.tsx", "TypeScript JSX", 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"/Users/nghiaxir/Desktop/vit-client/src/pages/Admin/Activity/constants/index.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/nghiaxir/Desktop/vit-client/src/pages/Admin/Activity/index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/nghiaxir/Desktop/vit-client/src/pages/Admin/Activity/index.tsx", "TypeScript JSX", 311, 0, 0, 0, 0, 0, 0, 0, 0, 18, 329
"/Users/nghiaxir/Desktop/vit-client/src/pages/Admin/Activity/types/index.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 2, 21
"/Users/nghiaxir/Desktop/vit-client/src/pages/Admin/Activity/utils/convert-data.ts", "TypeScript", 0, 67, 0, 0, 0, 0, 0, 0, 0, 3, 70
"/Users/nghiaxir/Desktop/vit-client/src/pages/Admin/Activity/utils/get-status.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"/Users/nghiaxir/Desktop/vit-client/src/pages/Admin/Activity/utils/index.ts", "TypeScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"/Users/nghiaxir/Desktop/vit-client/src/pages/Admin/Club/index.tsx", "TypeScript JSX", 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
"/Users/nghiaxir/Desktop/vit-client/src/pages/Admin/Dashboard/index.scss", "SCSS", 0, 0, 56, 0, 0, 0, 0, 0, 0, 9, 65
"/Users/nghiaxir/Desktop/vit-client/src/pages/Admin/Dashboard/index.tsx", "TypeScript JSX", 132, 0, 0, 0, 0, 0, 0, 0, 1, 13, 146
"/Users/nghiaxir/Desktop/vit-client/src/pages/Admin/Department/index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/nghiaxir/Desktop/vit-client/src/pages/Admin/Department/index.tsx", "TypeScript JSX", 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"/Users/nghiaxir/Desktop/vit-client/src/pages/Admin/Event/index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/nghiaxir/Desktop/vit-client/src/pages/Admin/Event/index.tsx", "TypeScript JSX", 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"/Users/nghiaxir/Desktop/vit-client/src/pages/Admin/Group/index.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/nghiaxir/Desktop/vit-client/src/pages/Admin/Group/index.tsx", "TypeScript JSX", 9, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13
"/Users/nghiaxir/Desktop/vit-client/src/pages/Admin/Member/components/CreateMember.tsx", "TypeScript JSX", 201, 0, 0, 0, 0, 0, 0, 0, 0, 6, 207
